,title,desc,title_label,desc_label
0, 전자 랜드 온오프라인 동시 가정의달 경품 이벤트 진행,행사 기간 전자 랜드는 공식 온라인 쇼핑몰 프로모션 페이지 내의 우리집 행운 찾기 이벤트에 참여한 고객 중 추첨을 통해 전자 의류관리기 명다이슨 청소기 명 삼성전자 큐브 냉장고 명갤럭시 탭 명 ,0,0
1,과기정통부 카이스트 년 역사를 빛내는 대 총장에 이광형 단독기 ,이어 일 과학기술정보통신부 등에 따르면 는 이날 오전 이사회를 열고 제 대 총장 선출을 위한 표결에 들어간다 며 이 부총장은 인공지능 반도체 전문가로 삼성전자 산학협력센터장을 맡고 있는 김정호 ,1,0
2,김부겸 이재용 사면 경제계 상황 정리해 대통령께 전달할 것 ,김부겸 국무총리 후보자는 일 경제계의 이재용 삼성전자 부회장 사면 요청에 대해 경제계그분들이 갖고 있는 상황 인식 등 그런 문제를 잘 정리해서 대통령께 전달드리겠다 고 밝혔다 김 후보자는 이날 오전 국회 ,0,1
3, 삼성전자 분기에 반도체 실적 개선 기대 증권, 증권에서 일 삼성전자 에 대한 큰 폭의 실적 개선이 기대된다고 예상했다 증권 김동원 연구원의 보고서에 따르면 삼성전자 반도체 부문은 분기부터 실적 개선선이 기대된다 라며 디램 낸드의 ,0,1
4,암호화폐 거래소도 경영업비트도 억원 쏜다종합, 삼성전자 네이버 등 국내 주요 기업이 환경사회지배구조 경영 강화에 나선 가운데 핀테크 스타트업 두나무도 경영 실천에 나섰다 국내 암호화폐 거래소 업비트를 운영하는 두나무는 억원을 투자해 ,1,1
5,김부겸 백신수급 가짜뉴스 엄벌 상반기 접종약속 지킬 것 ,또한 김 후보자는 여야 의원들의 종부세와 이재용 삼성전자 부회장 사면 등 질의에 대해 재산세종부세는 전체 부동산 정책이 흔들리지 않는 방향에서 고민하겠다 고 했으며 이재용 부회장 사면에 대해서는 사면은 ,0,1
6, 삼성 중공업발 재무 위험그룹에 전이 되나,사진연합뉴스 삼성 중공업 살리기에 삼성전자 와 삼성 생명 등 계열사의 자본투입이 불가피하게 됐다 삼성 중공업 재무부실이 부분잠식 단계에 이르러 부실이 전이될 위험이 제기된 상태다 수주잔고가 양호하고 ,0,0
7, 창업주 다닌 초교 소재지 진주시도 이건희 미술관 유치전 가세, 문화민주주의 구현하려면 남부권 중심지인 진주가 최적지 경남 진주시는 고 이건희 삼성전자 회장이 기증한 만 천여 점의 미술 소장품을 전시할 공간 일명 이건희 미술관 유치에 나서기로 했다고 일 밝혔다 ,0,0
8,수그러들지 않은 이재용 사면론 김부겸 경제계 의견 대통령에 전달 ,이재용 삼성전자 부회장 천지일보 경제단체 이어 내부 사면론 제기 청와대는 검토한 적 없다 선 긋기 반도체 패권전쟁 심화시 또 제기될듯 천지일보명승일 기자 여권 내부에서 이재용 삼성전자 부회장의 ,0,0
9,김부겸 이재용 사면 경제계 의견 사면권자인 대통령에 전달할 것 ,사진 연합 제공 김부겸 국무총리 후보자는 일 이재용 삼성전자 부회장에 대한 사면에 대해 총리에 취임한다면 경제계를 만나 상황 인식을 잘 정리해 대통령께 전달하겠다 고 밝혔다 김 총리 후보자는 이날 국회에서 ,0,0
10, 속 가 최적화 공간 사운드 찾아드립니다 , 일 파이낸셜뉴스가 삼성전자 수원사업장에서 만난 영상디스플레이사업부 개발팀 사운드랩은 올해 출시된 신제품 네오 에서 음향 기술을 업그레이드한 주역이다 김종배 수석은 브라운관 에서 평판 ,0,0
