,name,region,address,phone
0,영등포구청역점,서울,서울특별시 영등포구 당산로30길 7,02-2677-7749
1,용인성복점,경기,경기도 용인시 수지구 성복2로 114,031-898-0695
2,대구평리점,대구,대구광역시 서구 국채보상로 197,053-554-5794
3,하남감일점,경기,"경기도 하남시 감일순환로 35-1, 2층",02-477-3542
4,위례창곡점,경기,"경기도 성남시 수정구 창곡동 513, 203호",031-755-1471
5,대전신성점,대전,"대전광역시 유성구 신성로 97, 1층",042-863-4111
6,대구한의대점,경북,"경상북도 경산시 한의대로1, 대구한의대M동 9호관 B1",053-811-4776
7,광주풍향점,광주,광주시 북구 군왕로 1,062-515-5045
8,울산자수정점,울산,"울산광역시 울주군 삼남면 자수정로 23, 1층",052-263-0077
9,매봉역점,서울,서울 강남구 남부순환로 2732,02-576-2211
10,광주학동점,광주,광주광역시 동구 의재로 46,062-236-1289
11,벡스코점,부산,부산광역시 해운대구 센텀남대로50 103호,051-746-8123
12,목포옥암점,전남,전남 목포시 옥암동 1345-7,061-283-6100
13,서초중앙로점,서울,"서울특별시 서초구 서초중앙로 230, 2층",02-596-1278
14,울주언양점,울산,"울산광역시 울주군 언양읍 헌양길 157, 1층",052-254-9987
15,연산과정교차로점,부산,"부산광역시 연제구 반송로 89, 1층 3호",051-791-1977
16,전북임실점,전북,전라북도 임실군 임실읍 운수로 50,063-644-1313
17,마곡나루역점,서울,"서울특별시 강서구 마곡서로 170 ,1층 108호",02-6737-0022
18,양주광적점,경기,경기도 양주시 광적면 가래비12길 11-15,031-864-5353
19,둔촌동역점,서울,서울특별시 강동구 양재대로 1319,02-474-0012
20,논현아이파크점,서울,"서울특별시 강남구 언주로 615, 103동 117호 ",02-511-4616
21,이천증포점,경기,경기도 이천시 이섭대천로 1376,031-632-1106
22,삼각지역점,서울,"서울특별시 용산구 한강대로 205, 1층",02-794-6888
23,양천향교역점,서울,서울시 강서구 강서로 447 경동미르웰플러스 1층,02-3665-2662
24,통영도남점,경남,"경상남도 통영시 도남로 270, 1층",055-648-8847
25,삼성중앙역점,서울,서울특별시 강남구 봉은사로 471,02-3445-4466
26,횡성둔내점,강원,강원 횡성군 둔내면 고원로 404,033-342-0202
