운동명,운동방법,개요
덤벨 컬,"1. 긴장을 풀고 덤벨을 듭니다. 이때 어깨는 내리고 팔꿈치를 몸통(옆구리)에 밀착하듯이 붙여줍니다.
사실 몸통에 너무 붙이는 것도 좋지는 않지만 어찌 되었건 팔꿈치를 쓰지 않고 최대한 

이두근만을 쓰기 위해서는 덤벨을 들어올릴때 옆구리에 팔꿈치를 붙이는 것이(고립) 좋습니다.





2. 이두근으로만 들어올린다고 생각하면서 천천히 덤벨을 들어올립니다. 

덤벨을 들어올릴때에는 손목도 신경써주는것이 좋습니다. 

대다수가 무거운 무게의 덤벨을 선택하셔서 운동을 하시기 때문에 

손목이 꺾이면서 올릴 가능성이 크죠. 

고로 제발 덤벨컬할때에는 고중량을 칠 생각하지 마세요 ㅜㅜ

고중량 저반복은 이두가 자랄 희망이 현저히 낮다 싶을때 

해도 됩니다.

무조건 처음엔 저중량 고반복이 효과적입니다.







3. 들어올리는 동작에서 90도 이상으로 올릴때에는 손을 안쪽으로 비틀면서 

이두근에 힘을주며 아주 쥐어짠다라는 느낌으로 들어올리면 운동효과가 더 좋지만 

왠만하면 처음부터 90도 이상으로 들어올리는건 비추합니다. ","아령(덤벨)을 들고 팔을 굽히는 운동이다. 주 타격부위는 이두근 이며 보조로 삼각근 전면과 전완근이 쓰인다. 바벨 컬이 사이즈를 키우는데 더 유리한 운동이라면 덤벨 컬은 양쪽 이두근의 균형잡힌 발달과 높은 범용성의 장점이 있다.
"
해머 컬,"1. 손 간격은 어깨 넓이로

정자세를 취하고 팔을 늘어 뜨린 뒤 덤벨을 뉴트럴그립(손바닥이 마주보게)으로 잡으시면 시작 자세입니다.



2. 발 간격을 어깨 넓이로 벌린 뒤 허리에 힘을 주고 몸을 단단하게 고정하기

운동을 진행하면서 자세가 흐트러지지 않게 하기 위함입니다.



3. 팔꿈치를 옆구리에 고정시키대 완전히 붙이지는 말기.

팔꿈치를 옆구리에 고정시켜 자세의 안정함을 추구하여야 합니다.

다만 겨드랑이를 몸에 딱 밀착시킬정도로 붙이지는 말아야 합니다. ( 자세가 어색해집니다. )



4. 팔꿈치는 몸의 중앙부에서 조금 앞에 위치시키기

옆에서 봤을 때 몸 중앙부보다 조금 앞에 팔꿈치를 위치시키는게 자극을 느끼기에 훨씬 좋습니다.

( 팔꿈치를 뒤로 빼지말고 앞으로 위치시켜 무게 중심을 앞쪽에 두라는 말입니다. )



5. 몸을 조금 기울이기

몸을 조금 기울여서 무게중심을 앞쪽에 둔 상태로 운동을 진행하셔야 합니다. 이두근 자극을 느끼기가 훨씬 좋고 자세도 안정적입니다.



6. 올라갈 땐 비교적 빠르게, 내릴 때는 천천히

올라갈 땐 비교적 빠르게, 내릴 때는 천천히 내리셔야합니다.

보통 올렸다가 내릴 때 힘들어서 덤벨을 내던지듯이 빠르게 내리시는 분이 있습니다.

이럴 경우 팔에 긴장이 풀어져 이두근의 자극이 줄어들며 부상의 위험도 있습니다.

올릴 때 못지 않게 내릴때도 중요합니다.



7. 팔을 완전히 펴지 않기

85~95%정도만 팔을 펴는게 좋습니다.

팔을 완전히 펴는 경우 이두근의 긴장이 풀어져 자극이 줄어듭니다.



8. 반동을 이용하지 않기

반동을 이용하여 억지로 덤벨을 드시는 분들이 있습니다.

마치 춤추는듯이 말이죠. 이 경우 부상의 위험이 크고 자극도 굉장히 줄어듭니다.

몸을 조금 기울이고 지지한 상태로 반동없이 하셔야 자극이 잘됩니다.

반동을 이용하셔서 덤벨을 들 경우 고중량을 든거 같아 뿌듯하지만 그건 전신을 이용하여 든것일뿐 이두운동을 한 것이 아닙니다.



9. 반동을 적절히 활용하라

고중량 소화, 마지막 세트, 횟수 마지막에 강제반복을 하실경우 반동을 적절히 이용하면 좋습니다.

리듬을 이용하는 반동은 중량 소화에 도움을 주기 때문입니다. 그렇다고 춤추시면 안됩니다.



10. 한쪽팔씩 진행할 수도 있다?

왼팔,오른팔,왼팔,오른팔 번갈아가면서 들거나 왼팔,왼팔,왼팔 후 오른팔,오른팔,오른팔씩으로 들 수도 있습니다.

양손으로 진행할 때보다 한쪽팔씩 진행하면 조금 더 이두에 집중할 수 있습니다. ( 물론 저는 양손으로 합니다. 빨리 운동하고 집에 가야하므로... )



12. 앉아서 진행할 수도 있다

앉아서 진행할경우 서서 진행할때보다 이두근에 조금 더 집중할 수 있습니다. 다만 하체를 이용하지 않게되므로 중량은 줄어듭니다.

꼭 앉아서 운동해야 집중도가 올라가는것은 아닙니다. 앉아서 운동할 경우 어색한 자세가 나와 오히려 자극이 안되는경우가 있기 때문입니다.

앉아서, 일어서서 각각 진행해보시고 몸에 더 맞으신걸로 진행하시면 되겠습니다","이두는 바깥쪽 근육인 장두(옆모습에서 드러나는 이두)와 안쪽근육(뽀빠이자세를 취하며 팔에 힘줬을때 나오는 알통)인 단두로 나뉘는데요.

이중에서도 해머컬은 장두의 발달에 뛰어난 효과가 있는 운동입니다."
컨센트레이션 컬,"1. 벤치에 덤벨을 들고 다리를 V자로 넓게 벌려서 앉습니다.
2. 덤벨을 잡은 손의 윗팔을 안쪽 허벅지에 올려놓습니다. 반대쪽 손은 허벅지를 잡아서 자세를 지지합니다.
3. 몸통을 앞으로 기울입니다. 코어근육을 활성화하여 허리가 너무 굽지않게 합니다.
4. 호흡을 내쉬며 덤벨을 가슴까지 올립니다. 상단에서 끝까지 짜내면서 버티다가
4. 호흡을 들이쉬며 천천히 내립니다. 반복","상완이두근은 쉽게는 알통이라 부르기도 합니다.

팔꿈치를 구부렸을때 도드라지는 근육입니다.



상완이두근은 근육이 두갈래로 갈라져서 장두(긴갈래) 단두(짧은갈래)로 나누어 집니다.



상완이두근의 기능은 주관절(팔꿉관절)의 굴곡(굽힘)과 회외(뒤침)
견관절(어깨관절)의 외전(벌림)을 보조합니다."
컨벤셔널 데드리프트,"1.발의 가운데에 바를 두고, 무릎은 구부리지 말고, 정면에서 볼때 팔이 수직이 되도록 어깨 넓이로 잡습니다.
2.무릎을 구부리며 자세를 낮춥니다. 측면에서 볼때 겨드랑이 뒤쪽이 바벨의 수직선상이 됩니다.(어깨가 바벨보다 약간 앞으로 나갑니다. 어깨가 아닌 광배근을 사용하기 위해)
3.숨을 들이마셔셔 상체를 견고하게 만들고 바벨을 살짝 당겨 등을 조이고 호흡을 멈춘뒤 하체 힘으로 바닥을 밀어냅니다.
4.상체는 각도를 유지하고 엉덩이부터 솟구쳐 올라가면 안됩니다.  바벨이 무릎을 넘어가면
5.엉덩이와 햄스트링 힘으로 폭발적으로 상체를 세웁니다. 엉덩이를 조이고 몸이 중립이 되면서 동작 완료입니다. 어깨를 으쓱하거나 뒤로 기울면 안됩니다.
6.역순으로 내립니다. 엉덩이를 뒤로빼며 바벨을 무릎까지 내리고 그 후 무릎을 굽히면서 바벨을 바닥까지 내립니다.","컨벤셔널 데드리프트는 엉덩이 쪽 근육(둔근, 대둔근)과 햄스트링(허벅지 뒤쪽 근육), 기립근, 대퇴사두(허벅지 앞쪽 근육)에 자극을 줄수 있습니다."
루마니안 데드리프트,"1. 어깨너비보다 약간 넓게 다리를 벌리고 서서 어깨너비로 바벨을 잡고 등 상부를 아치형으로 만들어 준 다음 가슴을 내밀고 턱은 당겨주며 어깨는 뒤로 모읍니다.

 

2. 무릎을 살짝 구부리면서 바벨을 정강이까지 내린 다음 앞으로 숙이면서 복부와 등을 긴장시킨 다음 처음자세로 돌아옵니다.

 

3. 바벨은 몸과 최대한 가까이 붙어있어야하며, 바벨을 무릎 아래까지 수직으로 내립니다.

 

4. 무게중심을 발꿈치보다 발가락 쪽에 주며 내려갈 경우 등 상부의 자극을 더 느낄 수 있으며, 마무리 동작에서 어깨를 뒤로 모아주면 승모근의 자극을 더 느낄 수 있습니다.

 ","루마니안 데드리프트는 무릎을 거의 사용하지 않기 때문에 '허벅지 앞(대퇴사두근)'의 자극은 강하지 않습니다. 주로 엉덩이(둔근), 허벅지 뒤(햄스트링), 등(척추기립근, 광배근)의 발달에 좋습니다. 즉, 힙업 및 뒤태를 가꾸는데 좋은 운동입니다. 컨벤셔널 데드리프트보다 조금 더 광배근에 자극이 들어갑니다."
스모 데드리프트,"1.발을 어깨넓이보다 넓게 서고, 발끝이 바를 향하게 합니다.(힙의 Q-angle 최적화를 위해)
   이때 대퇴골과 무릎관절이 발가락과 일렬이 되야합니다.

2.엉덩이를 내리고 등을 똑바로 유지하며 어깨넓이로 바를 잡습니다.(사진은 얼터네이트 그립이네요, 보통 오버그립으로 합니다)
 보통은 컨벤셔널 데드리프트보다 약간 좁게 잡게 됩니다. 정강이는 지면과 수직으로 되면 가장 편하게 바를 잡을 수 있습니다.

3.등은 평평하게 하고 어깨는 중립위치로 두고 바 바로 위에 있으면 됩니다.
   가슴을 펴서 높게 들어 거울을 직접 마주하는 위치가 되면 됩니다. 엉덩이는 바 쪽으로 당깁니다.

4.하체 힘으로 바닥을 강하게 밀며 올라갑니다. 바가 앞으로 쏠리면 안되고 정강이에 가깝게 붙어서 올라가면 됩니다.

5.무릎을 지나며 엉덩이와 허리를 동시에 잠그며 몸을 중립으로 만듭니다. 그 후 역순으로 반복.","양쪽다리를 큰폭으로 벌려주고
발끝을 측면으로 향하게 하기때문에
가장 큰 효과는 내전근(허벅지안쪽부위)이며
힙라인과 햄스트링 척추기립근을 포함한
등라인의 근육을 단련시키는 동작입니다"
스티프 레그드 데드리프트,"운동방법
①데드리프트에서와 마찬가지로 바벨을 잡고, 일어나 바로 선 자세가 되게 합니다.


②하체를 펴 거의 잠근 상태로 유지하고, 허리에서부터 앞으로 숙이고
등을 곧게 펴서 몸통이 바닥과 거의 평행이 되도록 하고
바는 팔 길이로 늘어뜨립니다.

다시 몸을 곧게 세우고, 어깨를 뒤로 당기고 척추를 활처럼 굴곡지게 해서
하부 등의 척추기립근이 완전히 수축되도록 합니다.

 

주의사항

 

루마니안 데드리프트와 자세가 크게 다르지 않습니다.

스티프를 한다고 하는데 루마니안 자세가 나오는 분이 있고

루마니안을 한다고 하는데 스티프 자세가 나오는 분도 있습니다.
일반적인 데드리프트와 달리 하체의 도움을 받지 않기 때문에
이 운동을 할 때는 훨씬 가벼운 중량을 사용하게 될 것입니다.

허리는 항상 곧게 펴고, 가슴을 앞으로 내밀어 

등의 곡선이 아치형을 이루도록 해줘야 합니다.

머리를 숙이지 마시고, 시선은 정면을 바라보셔야

허리가 당겨져 자연스럽게 펴지게 됩니다.

 

스티프 레그드 데드리프트라는 말처럼

다리를 뻣뻣하게 해서 하는 데드리프트입니다.

그런데 스티프 레그드 데드리프트는

다리를 완전히 편 상태에서 실시하면 슬와부 근육 무리에 더 많은 자극이 주어지지만, 중심을 잡기 어렵고 허리에 지나치게 많은 부하가 걸리게 됩니다. 무릎을 살짝 굽히고, 조금 더 무거운 중량을 이용하여 훈련하는 것이 안전할 뿐 아니라 슬와부 근육에 주어지는 자극도 커집니다.",스티프 데드리프트의 효과는 하체 근육이다. 하체 근육 中에서 뒤에 자리잡고 있는 엉덩이와 허벅지 뒷쪽 햄스트링 근육 이 이번 운동 효과의 목적이 된다. 2차적으로 척추기립근의 강화 효과도 기대할 수 있다. 데드리프트 中 스티프와 루마니안 운동은 유사한 동작을 가지고 있다.
저쳐(제르세) 리프트,"저쳐 리프트를 시작하는 방법은 먼저 바벨 뒤에 서서 자리 잡는 것이다.

이 세팅 자세를 취하려면, 발을 어깨 보다 약간 적은 간격으로 바 뒤에 서 있는다.

발가락은 바깥으로 향해 약 45도를 취한다.

그 다음 스콰트 다운해서 허리를 굽히고 한 손으로 바를 잡는다.

 

그 손을 이용해서 몸을 당겨 동시에 다른 팔의 전완근을 바 밑으로 밀어 넣는다.

그리고 나서 처음 당겼던 팔을 같이 밀어 넣는다.

두 팔을 갈고리처럼 바에 걸었다면, 이제 준비 자세가 된 것이다.

 

바벨을 바닥에서 올릴 때 아주 엄격한 자세로 해야 한다. 바벨을 갑자기 휙 하고 올리면 안 된다.
그 이유는 허리가 굽어진 시작자세에서는 척추가 스트레칭 되어 길게 당겨져 있기 때문에

갑자기 올리면 회초리처럼 스냅을 주게 되는 효과가 생겨 허리를 다칠 우려가 있기 때문이다.

 

저쳐리프트에서 주의해야 할 또 다른 점은 허리에 걸리는 강한 포스다.

이 자세는 무게 중심이 데드리프트나 클린 보다 앞으로 쏠리기 때문에 허리에 더욱 신경을 써야 한다.","제르셔 스쿼트에서 중량을 팔꿈치 안에 들고 있으려면 강력한 코어 안정이 필요하므로, 다리와 복부를 동시에 자극할 수 있다."
클린 데드리프트,"1. 양손을 어깨너비 정도로 벌려서 지면에 있는 바벨을 잡는다. 이때 어깨관절과 바벨을 잡고 있는 양손이 수직선상에 위치한다. 

2. 양발은 골반너비로 벌려서 지면에 단단히 고정하고 코로 호흡을 마셔 복압을 유지하면서 등과 허리를 곧게 편다. 

3. 광배근 상부 등 근육을 활성화하고 양발로 지면을 밀어내는 느낌으로 둔근과 허벅지 전면 근육의 힘을 이용하여 바벨을 고관절까지 들어 올린다. 

4. 바벨은 몸에 최대한 붙여서 들어 올리고 무릎이 앞으로 밀리거나 뒤로 빠지지 않도록 주의한다. 

","후면 사슬(posterior chain)을 중점적으로 사용하는 파워리프팅 데드리프트와는 달리 허벅지의 개입도가 높다. 물론, 클린 데드리프트도 주동근은 후면사슬이다."
드래곤 플래그,"1. 튼튼한 기둥, 기둥 또는 벤치를 잡으려면 등을 대고 팔을 뒤로 뻗으십시오.
2. 어깨에 체중을 감을 때 엉덩이를 들어 올리십시오.
3. 발, 다리, 몸통을 들어서 한 직선으로 오십시오.
4. 어깨, 엉덩이 및 무릎이 정렬되도록 몸을 직선으로 가져옵니다. 목에 몸무게를 두지 마십시오. 어깨와 등 위의 무게를 유지하십시오.
5. 등은 몸의 바닥과 접촉해야하는 유일한 부분입니다.
6. 최대 10 초 동안 여기를 유지하십시오.
7. 몸이 바닥과 평행이 될 때까지 몸을 바닥으로 천천히 내려 가면서 코어와 엉덩이를 단단히 고정시킵니다.
8. 다리를 똑바로 똑바로 유지하십시오.
9. 도전을 위해, 당신은 몸을 땅 바로 위에서 잡고이 자세를 잡고 다시 들어 올릴 수 있습니다.
10. 5 회 5 회 반복하십시오.","이 운동은 코어와 복근의 근력을 강화시켜 주는데

척추에 붙어있는 지근(적색근, 지구력)을 발달시켜 척추를 강화하키고

몸의 밸런스를 잡아주며 자세르 바르게 하는데 효과가 좋은 운동이며

척추의 유연성을 증대시켜 주는데도 좋은 운동입니다."
