,title,title_label,desc,desc_label
0,김부겸 이재용 사면 경제계 상황 정리해 대통령께 전달할 것 ,0,김부겸 국무총리 후보자는 일 경제계의 이재용 삼성전자 부회장 사면 요청에 대해 경제계그분들이 갖고 있는 상황 인식 등 그런 문제를 잘 정리해서 대통령께 전달드리겠다 고 밝혔다 김 후보자는 이날 오전 국회 ,1
1, 삼성전자 분기에 반도체 실적 개선 기대 증권,0, 증권에서 일 삼성전자 에 대한 큰 폭의 실적 개선이 기대된다고 예상했다 증권 김동원 연구원의 보고서에 따르면 삼성전자 반도체 부문은 분기부터 실적 개선선이 기대된다 라며 디램 낸드의 ,1
2,암호화폐 거래소도 경영업비트도 억원 쏜다종합,1, 삼성전자 네이버 등 국내 주요 기업이 환경사회지배구조 경영 강화에 나선 가운데 핀테크 스타트업 두나무도 경영 실천에 나섰다 국내 암호화폐 거래소 업비트를 운영하는 두나무는 억원을 투자해 ,1
3,김부겸 백신수급 가짜뉴스 엄벌 상반기 접종약속 지킬 것 ,0,또한 김 후보자는 여야 의원들의 종부세와 이재용 삼성전자 부회장 사면 등 질의에 대해 재산세종부세는 전체 부동산 정책이 흔들리지 않는 방향에서 고민하겠다 고 했으며 이재용 부회장 사면에 대해서는 사면은 ,1
4,인텔 투자 공습부담 커지는 삼성전자 ,0,미국 인텔에 이어 대만 등 글로벌 반도체 기업들이 잇달아 투자에 나서면서 삼성전자 에 부담도 커지고 있다 반도체 시장에서의 우위를 선점하기 위해서는 적극적인 투자와 시기기 중요해서다 올해 분기 ,1
5,상속세 납부로 고개 드는 이재용 사면론 경계하는 정치권,0,최근 경제계와 이들의 주장에 힘을 싣는 복수의 언론을 중심으로 이재용 삼성전자 부회장 사면론이 고개를 들고 있다 이에 합심한 이원욱양향자 등 일부 여당 의원도 목소리를 보탰다 삼성 일가의 고 이건희 전 회장 ,1
6,인사청문회 김부겸 이재용 사면 대통령에 전달한다 ,0,김부겸 국무총리 후보자는 일 재계와 정치권을 중심으로 제기되는 이재용 삼성전자 부회장의 사면 요구에 대해 국회 동의를 받아 취임하면 경제계를 만나 그분들이 갖고 있는 상황 인식을 잘 정리해 문재인 대통령에게 ,1
7,상장협 정세균 전 국무총리 만나 정책간담회 진행,0,이날 간담회에서는 이재용 삼성전자 부회장의 사면을 적극 검토해달라는 요청도 나왔다 정구용 회장은 반도체는 코로나 경제위기 극복의 원동력은 물론 최근 심화되고 있는 국가간 기술패권 전쟁의 핵심 자원 이라며 ,1
8, 메모리가 한몸반격 나선 삼성전자 ,0,반도체 패권을 둘러싼 글로벌 기업들의 힘 겨루기가 숨 가쁘게 이어지는 가운데 시계 제로에 직면한 삼성전자 가 파운드리반도체 위탁생산 시장의 반전에 나선다 중앙처리장치 그래픽처리장치 등의 ,1
9,안규백이원욱양향자 의원 이어 김부겸까지 여권서 이재용 사면론 확산,0,글로벌 반도체 패권 경쟁이 치열해지고 있는 가운데 여권 내에서도 이재용 삼성전자 부회장의 사면론이 확산되는 분위기다 안규백이원욱양향자 의원에 이어 김부겸 총리 후보자까지 가세한 것 현재 글로벌 반도체 ,1
10, 삼성 세대까지 나오는데 더딘 폴더플 시장 성장세 애플 참전하면 시장 ,1,폴더블폰 시대를 연 삼성전자 가 신제품 갤럭시 폴드 와 갤럭시 플립 출시를 앞둔 가운데 중국 업체들도 비슷한 제품을 선보이며 경쟁에 가세하고 있다 폴더블 스마트폰이 고급 모델의 차세대 판매 포인트로 ,1
11,상장협 정세균 전 국무총리 초청 정책 간담회 개최,1,이어 특히 반도체는 코로나 경제위기 극복의 원동력이며 국가 간 기술패권전쟁의 핵심 자원이라며 국민의 이상이 찬성하는 만큼 국가 경제 발전 측면에서 이재용 삼성전자 부회장의 사면도 적극 검토해달라 ,1
12,이재용 삼성 생명 최대주주 적격성심사 어떤 경우도 지배구조 이상 ,0,이재용 삼성전자 부회장이 삼성 생명 대주주인 삼성 물산의 최대주주 자격으로 매 년마다 정기적으로 금융당국의 적격성 심사를 받게 됐다 금융회사지배구조법에 따라 금융당국은 최대주주 중 최다 출자자 인을 대주주 ,1
13, 로펌 삼성전자 하이닉스 등 램 담합 또 소송 제기,0,서울 서초구 삼성 딜라이트샵에 전시되어 있는 램 낸드 플래시 모바일 조명 사진뉴시스 한국의 삼성전자 와 하이닉스 미국의 마이크론 등 램 제조업체들이 미국 현지에서 램가격 담합 ,1
14,유족 기증 취지 중요한데지자체 이건희 미술관 유치 경쟁 가열,0,김승원 더불어민주당 의원수원갑도 삼성전자 본사와 이건희 회장 묘소가 있는 수원시에 이건희 미술관 유치에 나서 달라고 요청했다 지자체들보다 앞서 미술계 인사 여명은 지난달 일 이건희 회장 기증품을 ,1
15,동탄 최초 아트 스트리트 몰 등장에 투자 몰린다동탄테크노밸리 ,0,동탄테크노밸리 내 상주 근로인구 외에도 삼성전자 두산중공업 한국 등 대기업 업무단지 등 총 약 만여 명의 배후수요가 점쳐지고 있다 한편 현대 실리콘앨리 아트 동탄의 모델하우스는 한미약품 뒤편인 ,1
16, 토마토상폐 심의 앞둔 코아시아옵틱스 스톡옵션 부여 인력유출 방지 ,0,한편 코아시아옵틱스는 이번 주총에서 임내성 전 삼성전자 해외주재파견 최고재무책임자 를 신임 감사로 선임하기로 했다 새롭게 선임되는 임 감사는 삼성전자 해외주재파견 와 스테코 엑시콘 경영지원팀장 ,1
17,종목속으로 공매도 표적 된 디스플레이 실적으로 방어할까,0,대차거래 금액 기준으로 보면 삼성전자 조 억원 하이닉스 조 억원 셀트리온 조 억원 디스플레이 조 억원 순이다 대차거래는 차입자가 기관 등에 일정한 수수료와 담보물을 지불하고 주식을 ,1
18, 삼성 보급형 폰 갤럭시 인증기관서 포착,0,트위터 캡처 삼성전자 의 가장 저렴한 스마트폰 갤럭시 가 인증기관 데이터베이스에서 발견됐다 데이터베이스에서 발견된 갤럭시 모델 번호는 등 종이다 모델 ,1
19,김부겸 이재용 사면 재계 의견 대통령께 전할 것 ,0,사진뉴시스 김부겸 국무총리 후보자가 재계를 중심으로 제기되는 이재용 삼성전자 부회장 사면 요구와 관련 국회의 동의를 받아서 총리로 취임하면 경제계를 만나 그분들이 갖고 있는 상황 인식 등을 잘 정리해서 ,1
