N,종목명,현재가,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"82,100",100,"4,901,191","5,969,783",54.55,"6,358,317",21.37,9.99
2,SK하이닉스,"131,500","5,000","957,323","728,002",49.91,"1,265,787",20.13,9.53
3,LG화학,"912,000","5,000","643,802","70,592",45.48,"160,031",139.26,2.93
4,삼성전자우,"74,200",100,"610,582","822,887",77.21,"452,452",19.32,N/A
5,NAVER,"363,500",100,"597,097","164,263",56.93,"191,239",59.62,15.22
6,카카오,"114,000",100,"505,943","443,809",33.46,"1,107,979",321.13,2.70
7,삼성바이오로직스,"753,000","2,500","498,222","66,165",10.27,"57,561",206.75,N/A
8,현대차,"222,500","5,000","475,412","213,668",30.50,"590,877",43.26,2.04
9,삼성SDI,"646,000","5,000","444,219","68,765",42.77,"115,307",79.11,4.54
10,셀트리온,"254,500","1,000","350,455","137,703",20.97,"1,260,828",68.47,16.68
11,기아,"80,200","5,000","325,101","405,363",32.84,"1,329,801",21.85,5.05
12,POSCO,"369,000","5,000","321,719","87,187",54.73,"219,851",20.08,3.61
13,현대모비스,"273,000","5,000","258,785","94,793",37.66,"213,737",16.98,4.66
14,LG전자,"153,000","5,000","250,381","163,648",31.18,"495,991",14.06,13.23
15,삼성물산,"132,500",100,"247,625","186,887",14.77,"183,057",24.23,3.81
16,SK텔레콤,"306,000",500,"247,082","80,746",39.54,"284,603",16.42,6.44
17,SK이노베이션,"264,000","5,000","244,109","92,466",22.82,"550,838",-11.39,-13.58
18,LG생활건강,"1,556,000","5,000","243,019","15,618",46.03,"12,117",34.56,17.92
19,KB금융,"53,100","5,000","220,794","415,808",69.25,"467,511",6.39,8.53
20,LG,"126,500","5,000","218,285","172,557",34.67,0,15.18,7.50
21,신한지주,"38,800","5,000","200,441","516,600",60.62,"645,658",5.75,8.20
22,SK,"275,500",200,"193,843","70,360",21.06,"258,635",103.18,1.11
23,엔씨소프트,"808,000",500,"177,388","21,954",52.04,"36,567",30.20,20.83
24,삼성생명,"83,000",500,"166,000","200,000",13.23,"557,965",13.11,3.53
25,아모레퍼시픽,"262,000",500,"153,161","58,458",33.78,"97,612",514.73,0.78
26,한국전력,"23,150","5,000","148,615","641,964",16.47,"1,369,831",7.46,2.91
27,삼성에스디에스,"179,000",500,"138,506","77,378",11.58,"76,896",31.23,6.71
28,삼성전기,"177,000","5,000","132,208","74,694",34.44,"185,172",22.74,10.92
29,하나금융지주,"43,450","5,000","130,455","300,242",69.23,"480,233",4.95,8.96
30,HMM,"35,200","5,000","121,578","345,392",12.04,"11,668,923",91.67,8.93
31,SK바이오사이언스,"150,000",500,"114,750","76,500",2.80,"322,634",279.33,13.25
32,KT&G,"82,800","5,000","113,678","137,292",40.17,"233,141",9.70,13.22
33,포스코케미칼,"145,500",500,"112,709","77,463",7.75,"193,821",315.62,2.96
34,넷마블,"123,500",100,"106,153","85,954",24.02,"252,572",33.86,6.35
35,한국조선해양,"147,500","5,000","104,390","70,773",18.41,"333,291",-12.52,-7.42
36,S-Oil,"90,700","2,500","102,113","112,583",76.35,"480,893",-13.29,-13.07
37,롯데케미칼,"281,000","5,000","96,314","34,275",25.79,"177,956",60.78,1.22
38,삼성화재,"196,500",500,"93,092","47,375",47.27,"75,246",13.16,4.96
39,대한항공,"26,400","5,000","91,825","347,821",10.36,"708,594",-22.28,-7.22
40,한온시스템,"16,150",100,"86,209","533,800",19.36,"394,663",78.02,5.09
41,LG디스플레이,"23,600","5,000","84,444","357,816",23.64,"2,104,167",-94.40,-0.79
42,하이브,"236,500",500,"84,250","35,624",8.51,"100,576",N/A,12.52
43,한화솔루션,"44,000","5,000","84,163","191,278",17.41,"836,363",23.87,5.30
44,고려아연,"441,000","5,000","83,217","18,870",22.02,"32,592",14.52,8.37
45,금호석유,"267,000","5,000","81,349","30,468",24.75,"441,584",15.34,20.18
46,SK바이오팜,"102,500",500,"80,271","78,313",7.55,"228,589",-29.78,-135.18
47,우리금융지주,"10,450","5,000","75,477","722,268",26.92,"1,036,341",5.77,5.87
48,KT,"28,700","5,000","74,939","261,112",43.14,"498,413",11.39,4.76
49,현대제철,"53,700","5,000","71,660","133,446",20.36,"786,050",-16.67,-2.59
50,현대글로비스,"190,500",500,"71,438","37,500",33.37,"110,967",11.78,12.45
51,기업은행,"9,390","5,000","69,361","738,664",12.64,"1,285,150",4.68,6.44
52,미래에셋증권,"9,690","5,000","61,562","635,316",14.83,"745,455",9.49,8.94
53,CJ제일제당,"401,000","5,000","60,367","15,054",24.74,"24,019",9.58,13.50
54,LG유플러스,"13,800","5,000","60,252","436,611",31.30,"2,992,447",12.91,6.46
55,한국타이어앤테크놀로지,"47,300",500,"58,593","123,875",41.80,"188,335",15.74,5.12
56,아모레G,"70,700",500,"58,298","82,458",19.30,"212,368",654.63,0.31
57,한국금융지주,"103,000","5,000","57,398","55,726",33.04,"231,920",7.35,16.27
58,현대건설,"49,300","5,000","54,898","111,356",21.09,"570,661",44.90,1.84
59,현대중공업지주,"69,400","1,000","54,821","78,993",17.22,"247,915",-9.09,-8.12
60,강원랜드,"24,750",500,"52,950","213,940",20.97,"452,206",-19.20,-7.92
61,두산중공업,"12,300","5,000","51,965","422,481",8.92,"3,969,909",-3.13,-37.20
62,SKC,"133,000","5,000","50,365","37,868",11.48,"201,614",134.48,2.21
63,코웨이,"66,600",500,"49,151","73,800",58.10,"107,345",12.14,31.51
64,LG이노텍,"195,000","5,000","46,151","23,667",29.98,"81,927",19.54,10.20
65,두산밥캣,"45,250",500,"45,363","100,249",24.58,"149,717",18.33,6.15
66,맥쿼리인프라,"12,150",0,"45,221","372,192",15.33,"474,025",N/A,N/A
67,삼성중공업,"7,170","5,000","45,171","630,000",15.96,"6,961,823",-3.05,-33.06
68,이마트,"161,000","5,000","44,880","27,876",31.57,"218,897",12.40,4.05
69,오리온,"113,500",500,"44,874","39,536",41.33,"39,079",16.77,15.50
70,한미사이언스,"64,600",500,"43,479","67,305",1.71,"86,281",192.26,3.47
71,유한양행,"61,700","1,000","43,173","69,973",18.74,"110,970",22.78,11.06
72,KODEX 200,"41,970",0,"40,459","96,400",3.10,"1,767,994",N/A,N/A
73,녹십자,"346,000","5,000","40,435","11,687",19.17,"51,677",49.89,7.48
74,GS,"42,600","5,000","39,582","92,915",18.37,"200,970",-16.62,-2.82
75,한미약품,"326,000","2,500","39,375","12,078",13.42,"20,714",329.29,1.65
